Cos'è Workplace di Facebook?    Workplace è uno spazio di lavoro dedicato e sicuro che consente alle organizzazioni di connettersi, comunicare e collaborare. Le organizzazioni di ogni dimensione possono usare le funzioni familiari di Facebook come sezione Notizie, gruppi, messaggi ed eventi per lavorare meglio.
Quali sono le funzioni disponibili su Workplace che possono sostituire alcuni degli strumenti di lavoro esistenti della mia azienda?    Le aziende riscontrano di poter eliminare o ridurre drasticamente la necessità di strumenti di collaborazione interni, ad esempio intranet, sistemi telefonici, videoconferenze e liste di distribuzione. Il recente studio sull'impatto economico totale di Workplace condotto da Forrester Consulting mostra che le aziende che usano Workplace possono ottenere una riduzione del 25% dei costi di comunicazione della dirigenza.
Quante aziende usano Workplace? Sono più di 30 000 le aziende in tutto il mondo che usano Workplace. Queste aziende operano in diversi settori: commercio al dettaglio, tecnologia, telecomunicazioni, servizi finanziari, media, intrattenimento, servizi alberghieri, cibo e bevande, trasporti, servizi immobiliari, utenze, spedizione e pubblica amministrazione.
Vorrei provare Workplace.   Puoi iscriverti all'indirizzo workplace.com
È necessario creare un account Facebook personale per usare Workplace?  Non hai bisogno di un account Facebook personale per iscriverti a Workplace ed esistono siti web e app separati per entrambi.
Quali sono i costi? Il modello dei prezzi si basa sul numero di persone che usano Workplace al mese. Abbiamo anche introdotto il piano Workplace Essential, che è gratuito. Per conoscere tutti i dettagli, visita workplace.com/workplace/pricing
Perché la mia azienda dovrebbe pagare per Workplace Advanced e Workplace Enterprise se alcune delle funzioni sono disponibili su Facebook e Workplace Essential?    Alcune organizzazioni hanno requisiti specifici per gli strumenti di lavoro. Funzioni come l'accesso singolo (SSO), la gestione sicura delle identità, l'assistenza per le aziende e i dati analitici sono incluse in Workplace Advanced e Enterprise. Questi piani, inoltre, consentono alle organizzazioni di esportare i dati e gestire Workplace in modi non disponibili su Facebook o Workplace Essential.
Qual è la differenza tra i piani gratuiti e a pagamento?    Funzioni dei prodotti: Il piano Essential gratuito offre tutte le funzioni di base come sezione Notizie, gruppi, chat, video in diretta, integrazioni con strumenti di terzi e alcune funzioni di amministrazione. I piani Advanced e Enterprise a pagamento offrono funzioni di amministrazione aggiuntive come le integrazioni con gli identity provider. I clienti dei piani a pagamento hanno accesso alle API di integrazione per bot, gestione dell'account, e-discovery e applicazione delle normative. Queste integrazioni possono essere personalizzate o abilitate tramite il nostro ecosistema di partner.
Il mio datore di lavoro può vedere il mio account Facebook personale?   No, il tuo datore di lavoro non potrà accedere al tuo account Facebook personale.
Chi possiede le informazioni create dai dipendenti? Se usi Workplace Essential, Advanced o Enterprise, è la tua azienda a possedere le informazioni e i dati creati dai dipendenti in Workplace. Facebook agisce da responsabile del trattamento dei dati. Se usi Workplace Standard, sei tu a possedere le informazioni e i dati creati dai dipendenti, anche se è prevista l'applicazione degli Standard della community di Facebook, mentre quest'ultima agisce da titolare del trattamento dei dati ed è responsabile del trattamento dei dati degli utenti.
Cosa succede quando un dipendente non lavora più nell'azienda?  Se un'organizzazione usa Workplace Essential, Advanced o Enterprise e un dipendente abbandona l'azienda, l'amministratore continuerà ad avere accesso al suo profilo di Workplace. Se l'organizzazione usa Workplace Standard, i dipendenti possono scegliere di eliminare o disattivare l'account in qualsiasi momento.
Come faccio a eliminare il mio account? Puoi disattivare il tuo account in qualsiasi momento. Ma se usi Workplace Essential, Advanced o Enterprise, la tua organizzazione continuerà ad avere l'accesso al tuo profilo di Workplace. Con Workplace Standard, puoi eliminare o disattivare l'account in qualsiasi momento. Per maggiori informazioni, consulta il Centro assistenza.
Perché Workplace passerà da due a tre piani per i prodotti? I nuovi piani e prezzi aiuteranno le organizzazioni a scegliere le funzionalità per i prodotti di cui hanno bisogno, a prevedere meglio i costi e a connettere in modo migliore i loro dipendenti frontline con il resto dell'azienda.
Cos'è Workplace Essential?  Workplace Essential è pensato per migliorare la collaborazione e la comunicazione all'interno del team. Offre funzioni tipiche di Workplace, ad esempio gruppi, Workplace Chat, sezione Notizie e video in diretta. Workplace Essential è il nuovo pacchetto gratuito che sostituirà gradualmente Workplace Standard.
Cos'è Workplace Advanced?   Workplace Advanced è pensato per connettere un'intera organizzazione su Workplace. Contiene le funzioni familiari di Workplace come chat, video in diretta e gruppi e, in più, offre i controlli di amministrazione. Il costo di Workplace Advanced è di 4 dollari statunitensi per persona al mese. Con Workplace Advanced i dipendenti frontline possono connettersi a alla funzione per il lavoro frontline di Workplace su mobile per 1,50 dollari statunitensi per persona al mese.
Cos'è Workplace Enterprise? Workplace Enterprise è pensato per le organizzazioni che operano in un contesto di elevata complessità a causa delle loro dimensioni o del loro settore e pertanto necessitano di un livello di supporto superiore. Offre tutte le funzioni previste dal piano Advanced più un SLA per l'assistenza iniziale che prevede un tempo di risposta di quattro ore, priorità di risoluzione da parte dell'assistenza e l'accesso privilegiato alle nuove funzioni. Il costo di Workplace Enterprise è di 8 dollari statunitensi a persona al mese.
Cos'è la funzione per il lavoro frontline di Workplace? La funzione per il lavoro frontline semplifica la gestione delle modalità di accesso a Workplace da parte del personale frontline. Consente agli amministratori di assegnare le persone che appartengono alla tua organizzazione come dipendenti frontline. Gli amministratori possono aggiungere condizioni e messaggi personalizzati nei punti in cui i dipendenti frontline usano Workplace, ad esempio 'L'uso di Workplace al di fuori delle ore di ufficio non è riconosciuto come lavoro straordinario'. Per i dipendenti frontline è previsto un addebito alla tariffa scontata di 1,50 dollari statunitensi per persona al mese. Inoltre, gli amministratori possono disabilitare la creazione di gruppi da parte dei dipendenti frontline.
Qual è la definizione di dipendente frontline?  I dipendenti frontline sono coloro che hanno come ruolo principale il contatto diretto con i clienti o il pubblico in generale, finalizzato alla fornitura di servizi, assistenza e alla vendita di prodotti oppure dipendenti direttamente coinvolti nella produzione e nella distribuzione di prodotti. Al fine di essere classificato come dipendente frontline all'interno di Workplace, un dipendente deve appartenere a una o più delle seguenti categorie:
Posso iscrivermi solo alla funzione per il lavoro frontline?    No. La funzione per il lavoro frontline di Workplace è disponibile solo come componente aggiuntivo di Workplace Advanced o Workplace Enterprise.
Quanto costa la funzione per il lavoro frontline?   Per i dipendenti frontline è previsto un addebito di 1,50 dollari statunitensi a persona al mese, anziché 4 dollari statunitensi di Workplace Advanced o 8 dollari statunitensi di Workplace Enterprise.
Come faccio ad aggiungere un dipendente frontline a Workplace?  Puoi aggiungere i dipendenti frontline dal menu Lavoro frontline nel pannello di amministrazione.
Quando saranno disponibili i nuovi piani?   Workplace Advanced e Enterprise sostituiscono Workplace Premium per i nuovi clienti a partire dal 2 settembre 2019. Workplace Essential è in fase di implementazione.
Dove posso usare i nuovi piani? Workplace Essential, Advanced e Enterprise possono essere usati sul web, sulle app per mobile iOS e Android e attraverso un browser web mobile. La funzione per il lavoro frontline è disponibile per Workplace Advanced solo su app mobili per iOS e Android e attraverso un browser web mobile.
Cosa significa per utente al mese?  Con Workplace Advanced e Enterprise paghi per il numero di persone che sono state invitate ad attivare il proprio profilo di Workplace. Puoi creare un numero illimitato di profili in Workplace. Tuttavia, le fatture includeranno solo le persone invitate ad attivare il proprio profilo.
In che modo è possibile prevedere il costo di Workplace in base al prezzo per utente al mese?   Gli amministratori di Workplace possono controllare quante persone sono state invitate ad attivare il profilo di Workplace e quindi sono in grado di prevedere il costo mensile di Workplace.
Ho effettuato l'iscrizione a Workplace Premium. Il costo totale di Workplace aumenterà? I clienti esistenti continueranno a pagare 3 dollari statunitense al mese per utente attivo fino al 30 settembre 2020. A partire dal 1° ottobre 2020, l'effetto dei nuovi prezzi dipenderà da due fattori. Il primo è il numero di persone che passerà alla funzione per il lavoro frontline. Ad esempio, un numero elevato di utenti della funzione per il lavoro frontline potrebbe determinare una diminuzione del costo complessivo, dal momento che è previsto un addebito di 1,50 dollari statunitensi per persona al mese.
Sono un cliente attuale di Workplace Standard. Quali sono le conseguenze per me?    Una volta che Workplace Essential sarà disponibile, le attuali community di Workplace Standard migreranno su Workplace Essential.
Sono un cliente attuale di Workplace Premium. Quali sono le conseguenze per me? Invieremo un'e-mail agli amministratori di sistema di Workplace per spiegare loro le conseguenze di questo aggiornamento.
Ho acquistato Workplace tramite un rivenditore partner. Quali sono le conseguenze per me?   Se hai acquistato Workplace tramite un rivenditore partner, contattalo per maggiori informazioni sulle conseguenze per Workplace.
Quali saranno le conseguenze di questo cambiamento per i clienti di Workplace nelle Filippine, in Indonesia, in Nuova Zelanda, a Singapore e a Hong Kong?   Invieremo un'e-mail agli amministratori di sistema di Workplace per spiegare loro le conseguenze di questo aggiornamento.
La mia organizzazione usa attualmente Workplace Premium. A quale piano migreremo?   Gli attuali clienti di Workplace Premium migreranno su Workplace Advanced. Se ti interessa Workplace Enterprise, ti invitiamo a contattare il team di Workplace o un rivenditore partner.
Come posso disattivare le persone non attive dal mio account Workplace Advanced o Enterprise?   Puoi disattivare i loro profili nel pannello di amministrazione. Segui le istruzioni illustrate nel nostro articolo presente nel Centro assistenza.
Posso annullare il mio piano Workplace Premium? Workplace adotta un modello in abbonamento e puoi eliminare il tuo account in qualsiasi momento contattando l'assistenza di Workplace. Dovrai comunicarci l'eliminazione con un preavviso di 30 giorni. Puoi anche prendere in considerazione l'idea di passare a Workplace Essential, la versione gratuita di Workplace.
Una volta passata a un piano diverso, la mia organizzazione perderà i dati presenti su Workplace?   Nessun dato sarà cancellato dai profili di Workplace esistenti. Tuttavia, solo i clienti Advanced e Enterprise avranno accesso alle API per l'esportazione dei dati da Workplace.
Sono presenti inserzioni su Workplace?  Non ci sono inserzioni su Workplace.
La mia organizzazione è soggetta ai requisiti di elaborazione dei dati dell'Unione europea. Posso usare Workplace?  Sì. Per i clienti che usano Workplace Advanced forniamo disposizioni specifiche per aiutarli a gestire i requisiti di protezione dei dati dell'Unione europea. In particolare, Facebook aderisce allo Scudo UE-USA per la privacy, che consente alle aziende di rispettare i requisiti relativi al trasferimento dei dati dell'Unione europea nell'ambito dell'uso di Workplace. Puoi trovare maggiori informazioni sulla partecipazione di Facebook allo Scudo UE-USA per la privacy qui.
Esiste il rischio che qualcuno condivida contenuti dal suo account Facebook personale su Workplace? Oppure, è possibile che qualcuno condivida informazioni lavorative riservate da Workplace sull'account Facebook personale?  I post che pubblichi nel tuo account Facebook personale non sono visibili su Workplace e viceversa. Workplace e Facebook sono due prodotti distinti e separati, così come evidenziato dalle differenze nel design che ti consentono di riconoscerli subito quando li usi. Non hai bisogno di creare un account Facebook personale per iscriverti a Workplace.
Chi possiede e controlla le informazioni create dai dipendenti della mia organizzazione?    Nel caso dei clienti di Workplace Essential, Advanced e Enterprise, i dati che tu e i tuoi dipendenti inserite in Workplace appartengono alla tua organizzazione e sei tu a controllarli. Tu e i tuoi amministratori potete modificarli, eliminarli ed esportarli in qualsiasi momento tramite un'API amministrativa.
È necessario creare un account Facebook personale per usare Workplace?  No, Workplace è un prodotto diverso dall'account Facebook personale. Non hai bisogno di un account Facebook personale per iscriverti a Workplace ed esistono siti web e app separati per entrambi.
Dove si trovano i vostri data center?   Al momento abbiamo data center negli Stati Uniti, in Europa e a Singapore.
In che modo Workplace protegge le mie informazioni? Garantire la sicurezza delle informazioni su Facebook è alla base del modo in cui creiamo i prodotti e gestiamo la nostra azienda. La sicurezza è integrata in ogni prodotto di Facebook, compreso Workplace. Dai protocolli dei livelli di trasporto all'apprendimento automatico per il rilevamento delle minacce, la rete di Facebook è protetta da una combinazione di sistemi automatizzati avanzati, standard di crittografia leader del settore e team dedicati alla sicurezza.
Avete una sicurezza di livello enterprise?  Sì. La sicurezza è integrata in ogni prodotto di Facebook, compreso Workplace. Abbiamo centinaia di dipendenti che si occupano di sicurezza, solidi framework verificati di terzi e processi progettati con il solo scopo di mantenere i tuoi dati sicuri. La nostra posizione unica su Internet ci offre visibilità sulle minacce emergenti più recenti e ci consente di bloccare gli attacchi contro il tuo Workplace in tempo reale. Workplace Advanced e Enterprise sono stati progettati anche per essere integrati nei sistemi di accesso e gestione delle identità esistenti della tua organizzazione, offrendoti il controllo sull'accesso ai tuoi dati, usando standard aperti comuni alla maggior parte dei fornitori di software di livello enterprise.
Come risponde Workplace alle richieste di informazioni e dati sulla mia organizzazione o sui miei dipendenti da parte del governo o delle forze dell'ordine?    Per i clienti di Workplace Advanced e Enterprise, se non è proibito dalla legge, Facebook indirizzerà le richieste di dati delle forze dell'ordine all'azienda, in modo che questa possa decidere se fornire le informazioni richieste oppure opporsi alla richiesta.
Avete una certificazione SOC?   Workplace è sottoposto a verifiche di sicurezza rigide ogni anno e ha ottenuto la certificazione per gli standard globali ISO27001, ISO27018, SOC2 e SOC3. Rispettiamo anche gli scudi per la privacy UE-USA e Svizzera-USA e garantiamo la conformità al GDPR.
Che tipo di assistenza offre Workplace? I clienti di Workplace Advanced hanno accesso all'assistenza personale tramite e-mail sette giorni alla settimana/24 ore al giorno. Il team di assistenza ha uno SLA di risposta iniziale di 24 ore.