Cos'è Vendita su Amazon?	Vendita su Amazon è un programma che consente ai venditori di offrire i loro prodotti e inventari su Amazon.it
Quali articoli posso vendere su Amazon.it?	Potrai vendere prodotti nelle seguenti categorie: Accessori Elettronica*, Accessori Informatica*, Accessori per dispositivi Amazon, Auto e moto, Prima infanzia, Cancelleria e prodotti per ufficio, Casa, Commercio, Industria e Scienza, Console videogiochi, Cucina, Cura della persona, DVD, Elettronica, Fai da te, Giardino, Giochi e giocattoli**, Gioielli*, Illuminazione, Informatica, Libri, Orologi*, Pneumatici, Scarpe e borse*, Software e Videogiochi, Sport e tempo libero, Valigeria, Video. È necessaria un’approvazione per la vendita nelle suddette categorie. Contatta il Supporto al venditore in Seller Central per richiedere l’approvazione.	Ci sono restrizioni sulla vendita di Giocattoli e Giochi durante il periodo natalizio.
Quali articoli non posso vendere su Amazon.it?	Non puoi vendere prodotti illegali o commercializzati illegalmente e prodotti vietati dalle politiche di Amazon. Tra questi vi sono farmaci soggetti a prescrizione medica, sostanze stupefacenti, armi da fuoco, munizioni e tabacco.
Cosa mi serve per iscrivermi come venditore su Amazon?	Per registrarti ti serviranno le informazioni seguenti: Un indirizzo e-mail Una carta di credito o di debito in corso di validità. Informazioni relative al venditore e, se applicabili, informazioni relative alla tua impresa (tipo di impresa, luogo e data di fondazione, numero di iscrizione al registro delle imprese, numero di partita IVA, ecc.). Un numero di telefono a cui sia possibile contattarti. Contatti e documento di identità di una persona di riferimento designata e, se necessario, del beneficiario. Al momento, per vendere su Amazon.it devi avere un conto corrente aperto in Australia, Canada, Hong Kong, India, Nuova Zelanda, Stati Uniti, Regno Unito, o i uno nei paesi appartenenti all’Area Euro (Austria, Belgio, Cipro, Estonia, Finlandia, Francia, Germania, Grecia, Irlanda, Italia, Lettonia, Lituania, Lussemburgo, Malta, Paesi Bassi, Portogallo, Slovacchia, Slovenia e Spagna), ed essere provvisto di codice IBAN. È possibile che tu venga contattato qualora fossero necessarie informazioni aggiuntive.
Come posso inserire i prodotto che devo vendere su Amazon?	Puoi caricare i tuoi prodotti usando la nostra interfaccia web o i nostri strumenti per l'upload (file di grandi dimensioni). La procedura e le informazioni necessarie alla vendita variano a seconda che i tuoi prodotti siano già presenti nel catalogo Amazon.it o meno.
Quanto mi costa vendere su Amazon.it?	Costa EUR 44,85 IVA inclusa, al mese (EUR 39,00 per i venditori che hanno diritto alla tariffa IVA-esclusa) più una quota per ogni prodotto venduto. Le tariffe variano a seconda della categoria. Clicca qui per avere maggiori informazioni sui prezzi.
Quando inizierò a pagare la mia quota di abbonamento mensile?	Il tuo abbonamento inizia non appena hai completato il processo di iscrizione. Di conseguenza, la tua prima quota di abbonamento mensile partirà da quel momento.
Posso cancellare il mio abbonamento?	Sì, potrai cancellare il tuo abbonamento in qualsiasi momento. Contattaci attraverso il tuo profilo venditore. Non è richiesto alcun impegno a lungo termine per iscriversi.
Come faccio a gestire gli ordini?	Hai due opzioni per gestire i tuoi ordini. Puoi utilizzare l'interfaccia web (Seller Central) o scaricare il report giornaliero sugli ordini, un file che ti fornisce un sommario degli ordini che ricevi includendo informazioni sul cliente e sulle spedizioni, che ti permettono di portarli a termine.
Come posso ricevere i pagamenti?	Amazon Payments Europe verserà sul tuo conto corrente l’importo dovuto 14 giorni dopo l’iscrizione. I versamenti successivi saranno effettuati ogni 14 giorni. Per poter effettuare i versamenti è necessario che tu abbia un saldo positivo pari ad almeno 1 euro sul tuo account pagamenti di Vendere su Amazon. Le spese, i resi e i reclami dei clienti, come pure i rimborsi, influenzano il tuo saldo. I dati del tuo conto bancario devono essere presenti nel tuo profilo venditore.
Avete sistemi di protezione anti-frode?	Sì. Il sistema di protezione anti-frode dei pagamenti ti aiuta a eliminare ordini fraudolenti.
I clienti possono lasciare feedback e perché è importante il feedback clienti?	Sì, i clienti possono lasciare feedback. Mantenere un'alta valutazione nei feedback è un fattore essenziale per avere successo su Amazon.it. Questo è il miglior metro di paragone che gli acquirenti hanno per identificarti come un venditore affidabile. La tua valutazione appare nella pagina delle offerte ed è una delle prime cose che notano i clienti. I clienti sono più motivati ad acquistare i prodotti dei venditori che hanno buone valutazioni. La valutazione dei tuoi feedback è un parametro di giudizio che Amazon.it usa per misurare le tue performance.
Clicca qui per avere maggiori informazioni sui prezzi?	Garanzia dalla A alla Z è un programma creato per gestire situazioni in cui il cliente non riceve il prodotto richiesto o riceve un articolo diverso da quello ordinato o da ciò che si aspettava di ricevere. Amazon chiede ai clienti di contattare prima di tutto il venditore quando riscontrano dei problemi. Se il venditore non risolve il problema il cliente può inoltrare un Reclamo dalla A alla Z. Quando Amazon.it riceve il reclamo, invia al venditore una e-mail automatica specificando il reclamo che richiede una risposta, aggiungendo informazioni sull'ordine e sul processo di spedizione. Amazon.it stabilirà poi le modalità di risoluzione del reclamo del cliente che potranno includere il rimborso dell'ordine a spese del venditore.
Posso offrire confezioni regalo e biglietti di auguri ai miei clienti su Amazon.it?	Sì, per tutte le categorie di vendita eccetto Libri e DVD. Il nostro servizio di biglietti di auguri permette ai clienti di scrivere messaggi di auguri per singoli articoli o per interi ordini e il nostro servizio di confezione regalo consente loro di selezionare e pagare un pacco regalo per ognuno degli articoli ordinati. Come venditore Amazon potrai rendere disponibili entrambi questi servizi agli acquirenti.
Posso parlare con qualcuno riguardo a Vendita su Amazon?	Se al momento non stai ancora vendendo su Amazon.it e vuoi maggiori informazioni, puoi Contattaci.