Che cos’è un coupon?	Un coupon è un buono sconto per l'acquisto di oggetti eBay. Per beneficiare del coupon è necessario rispettare alcuni requisiti, elencati nelle condizioni d’uso specifiche di ogni coupon. Il coupon è valido solo se il venditore accetta PayPal come metodo di pagamento e l’acquirente paga l’acquisto con PayPal.
Come ottengo un coupon?	Alcuni coupon possono essere legati a promozioni oppure offerti dall’assistenza clienti, a discrezione di eBay e PayPal. Se sei stato selezionato per un coupon, potresti riceverlo via email, attraverso un messaggio sul sito (ad esempio durante il flusso di pagamento) oppure ancora tramite una cartolina inviata per posta.
Devo essere un utente eBay per utilizzare il coupon?	Sì, devi essere un utente eBay registrato per acquistare un oggetto e usare il tuo coupon. Puoi registrarti a eBay anche al momento dell’acquisto.
Devo avere un conto PayPal per utilizzare il coupon?	Sì, devi avere conto PayPal per utilizzare il coupon. Puoi registrarti a PayPal anche al momento del pagamento.
Quali metodi di pagamento ho a disposizione per utilizzare un coupon?	Per utilizzare il coupon, è necessario pagare l’acquisto con PayPal. PayPal ti permette di pagare in sicurezza con la tua carta di credito o prepagata oppure tramite il saldo del tuo conto PayPal, ricaricabile con bonifico bancario.
Posso utilizzare più di un coupon alla volta?	No, i coupon non sono cumulabili.
Posso utilizzare un coupon in qualunque sito eBay o per oggetti in valute diverse?	In genere i coupon possono essere utilizzati su tutti i siti eBay. Qualora vi fosse una limitazione relativa al sito o alla valuta, il requisito sarà indicato nelle condizioni d’uso specifiche del coupon.
Chi posso contattare in caso di problemi?	L'Assistenza clienti PayPal è a tua disposizione.
C’è un termine per l’utilizzo del coupon?	Il coupon deve essere utilizzato entro la data di scadenza indicata sul buono stesso.
Posso cedere un coupon o utilizzare quello di qualcun altro?	No, i coupon sono personali.
Come si utilizza il coupon?	È sufficiente che, al momento del pagamento su eBay con PayPal, tu inserisca il codice riportato sul coupon nell'apposito campo. I coupon danno diritto a uno sconto sugli oggetti in vendita su eBay solo se vengono rispettati i seguenti requisiti:
Il venditore accetta PayPal come metodo di pagamento.	La compravendita possiede tutti i requisiti stabiliti dalle condizioni d’uso specifiche del coupon ed è conforme all'Accordo per gli utenti del sito www.ebay.it e alle condizioni d'uso del sito www.paypal.it.
Che cosa faccio se l’indirizzo email associato al mio coupon è diverso da quello che uso per il conto PayPal?	Devi aggiungere al tuo conto PayPal l’indirizzo incluso nel coupon. Ecco come fare: Accedi al tuo conto PayPal all’indirizzo https://www.paypal.it e clicca su “Profilo”; Clicca su “Email” nella colonna Informazioni sul conto; Clicca sul pulsante “Aggiungi”; Inserisci l’indirizzo email e clicca su “Salva”. Una volta completata l'operazione, segui le istruzioni per confermare l'indirizzo aggiunto. A questo punto puoi utilizzare il coupon.
Posso utilizzare il coupon per acquistare qualsiasi oggetto?	Puoi utilizzare un coupon che ricevi da eBay o PayPal solo per acquistare oggetti eBay che includono PayPal tra i metodi di pagamento e che possiedono tutti i requisiti elencati nelle condizioni d’uso del coupon.
Come utilizzo il codice indicato sul coupon?	Inserisci il codice nell'apposito campo al momento di pagare l’oggetto con PayPal. Per evitare errori, ti suggeriamo di copiarlo e incollarlo.
Come pago la differenza tra il valore del coupon e il prezzo dell’oggetto?	Scegliendo PayPal come metodo di pagamento, la differenza tra il valore del coupon e il prezzo dell'oggetto sarà automaticamente pagata tramite il tuo conto PayPal, utilizzando i fondi disponibili sul saldo oppure la carta di credito o prepagata da te associata al conto PayPal.
I coupon hanno una scadenza?	Si, tutti i coupon hanno una scadenza, specificata sul coupon stesso e/o sulle condizioni d’uso del coupon.
Che cosa succede se pago utilizzando un coupon e poi il pagamento viene stornato?	Riceverai il rimborso della cifra pagata, escluso il valore del coupon.
Posso utilizzare un coupon insieme a un buono regalo per comprare un oggetto su eBay?	No, il coupon non puó essere sommato ad altri coupon, sconti, offerte, buoni regalo o altre promozioni di eBay e/o PayPal.
Che cosa si intende con “acquisto singolo” tra i requisiti per l’utilizzo di un coupon?	I coupon che richiedono un acquisto singolo devono essere utilizzati presso un unico venditore, con un’unica transazione e la spedizione deve essere unica. Alcuni coupon potrebbero anche essere limitati all’acquisto di un solo oggetto. In tal caso, il requisito sarà indicato sul coupon. Anche qualora fosse richiesta una spesa minima per l’utilizzo del coupon, il requisito sarà indicato nelle condizioni d’uso.
Che cosa devo fare se sto acquistando presso un venditore che accetta PayPal ma non vedo un campo dove inserire il mio codice coupon?	Questa circostanza si verifica raramente. Tuttavia, se sei certo che il venditore accetta PayPal, accedi al tuo conto, clicca su “Invia pagamento”, seleziona la sottoscheda “Paga oggetti eBay” e inserisci il codice coupon nello spazio dedicato.
Quali sono i vantaggi per il venditore?	I coupon possono aumentare il numero e il valore delle offerte su eBay.
Che cosa devo fare per accettare un coupon?	Come venditore devi semplicemente accettare PayPal come metodo di pagamento. I coupon vengono monetizzati automaticamente al momento dell’utilizzo, così non ti accorgerai nemmeno se un acquirente ha utilizzato un coupon.
Sapró se un acquirente ha utilizzato un coupon per il pagamento?	No, i coupon vengono monetizzati nel tuo conto PayPal automaticamente.
Se un acquirente utilizza un coupon, l’ammontare del pagamento cambierà?	No, riceverai un unico pagamento senza nemmeno accorgerti che l’acquirente ha utilizzato un coupon per parte di esso.
Che cosa succede se l’acquirente mi restituisce l’oggetto e io lo rimborso?	Se vuoi rimborsare un pagamento eseguito con PayPal, ti suggeriamo di farlo dal tuo conto PayPal utilizzando il link “Emetti rimborso” entro 60 giorni dalla data del pagamento: Accedi al tuo conto PayPal all'indirizzo https://www.paypal.it/; Clicca sulla scheda “Cronologia”; Individua il pagamento che desideri rimborsare e clicca su “Dettagli”; Clicca sul link “Emetti rimborso”; Immetti l'importo da rimborsare e clicca su “Continua”; Conferma i dettagli e clicca su “Emetti rimborso”. Se il rimborso viene effettuato tramite PayPal, l'ammontare del coupon sarà restituito a chi ha emesso il coupon (eBay o PayPal) mentre la parte restante sarà rimborsata all’acquirente.