Cos'è Twitter?	Twitter è un servizio per amici, familiari e colleghi utile a comunicare e rimanere in contatto attraverso lo scambio di messaggi rapidi e frequenti. Le persone pubblicano Tweet che possono contenere foto, video, link e del testo. Questi messaggi vengono pubblicati sul tuo profilo, inviati ai tuoi follower e possono essere trovati attraverso la ricerca di Twitter. Scopri di più su come utilizzare Twitter.
Mi serve qualcosa di particolare per utilizzarlo?	Tutto ciò che ti serve per utilizzare Twitter è una connessione Internet o un telefono. Unisciti a noi e, dopo esserti iscritto, inizia a trovare e seguire gli account che pubblicano Tweet di tuo interesse. Non appena avrai un account, ti suggeriremo degli ottimi account.
Cos'è un Tweet?	Un Tweet è qualsiasi messaggio pubblicato su Twitter e può contenere foto, video, link e del testo. Clicca o tocca il pulsante Tweet per pubblicare aggiornamenti sul tuo profilo. Per ulteriori informazioni, leggi il nostro articolo Pubblicazione di un Tweet.
Come posso inviare gli aggiornamenti su Twitter?	Leggi il nostro articolo su come pubblicare un Tweet. Puoi twittare da twitter.com, un dispositivo mobile o un'applicazione. 
Cos'è un Retweet?	Un Retweet è un Tweet che inoltri ai tuoi follower.
Come pubblico una foto su Twitter?	È facile caricare e condividere immagini su Twitter. Consulta le istruzioni dettagliate e le domande frequenti su come pubblicare una foto su Twitter.
Posso modificare un Tweet dopo averlo pubblicato?	No, non puoi modificare un Tweet dopo averlo pubblicato, ma puoi eliminarlo.
Come posso abilitare la modalità scura?	Per abilitare la modalità scura tramite twitter.com, clicca sulla tua foto del profilo, quindi seleziona Modalità scura dal menu. Per disabilitare l'impostazione, basta cliccare di nuovo su Modalità scura. La modalità scura è disponibile anche su Twitter per iOS e Twitter per Android.
Chi legge i miei aggiornamenti?	I tuoi follower leggono i Tweet che pubblichi. Se questi sono pubblici, chiunque potrà vederli cercando una parola chiave contenuta in un tuo Tweet. I Tweet sono pubblici per impostazione predefinita; se hai dubbi riguardo al fatto di condividere i tuoi aggiornamenti con persone che potresti non conoscere, proteggi i tuoi Tweet per approvare i tuoi follower ed escludere i tuoi aggiornamenti dalle ricerche.
Perché non posso vedere tutti i miei Tweet? Sono stati persi?	Tutti i tuoi Tweet vengono memorizzati. Accedi al tuo profilo per visualizzare i tuoi ultimi 3.200 Tweet nella cronologia del profilo. Per vederne di più, puoi scaricare il tuo archivio di Twitter e sfogliare una panoramica delle tue informazioni di Twitter a partire dal tuo primo Tweet.
Posso inserire gli aggiornamenti che pubblico su Twitter sul mio blog?	Sì, inserisci un widget di Twitter sul tuo blog, sito web o in qualsiasi posto sia supportato JavaScript o HTML.
Cosa significa seguire qualcuno su Twitter?	Seguire qualcuno significa che hai scelto di ricevere gli aggiornamenti che pubblica su Twitter. Ogni volta che qualcuno che segui pubblica un nuovo messaggio, l'aggiornamento in questione verrà visualizzato nella tua cronologia principale di Twitter. 
Come trovo delle persone da seguire?	Quando crei un account, puoi cercare le persone tramite il nome o nome utente, importare gli amici da altri network o invitare gli amici tramite email. 
Come posso sapere chi sto seguendo?	Inizierai a seguire qualcuno dopo che avrai cliccato o toccato il pulsante Segui sul profilo in questione. Guarda la lista delle persone che segui cliccando sul link Following nella tua pagina del profilo o nella barra laterale presente nella tua homepage.
Come posso sapere chi mi sta seguendo?	Twitter ti invia una notifica quando qualcuno di nuovo inizia a seguirti. Configura le tue preferenze sulle email e notifiche push su dispositivi mobili per ricevere una notifica quando qualcuno inizia a seguirti. Tramite il link Follower nella tua pagina del profilo potrai anche sapere chi ti segue.
Cosa sono i limiti di follow?	Per garantire la stabilità di Twitter e prevenire gli abusi, abbiamo impostato dei limiti di follow e per gli aggiornamenti. Scopri di più sui limiti di follow.
Cosa sono le risposte?	Una risposta è una replica al Tweet di un altro utente. Clicca o tocca l'icona di risposta nel Tweet di un altro utente per rispondere. Nota che se i tuoi Tweet sono protetti, gli utenti che non ti seguono non vedranno risposte e menzioni. 
Qual è la differenza tra una risposta e un Messaggio Diretto?	Una risposta è un messaggio pubblico inviato indipendentemente dal rapporto di follow e può essere vista da chiunque (se i tuoi Tweet sono pubblici). Un Messaggio Diretto è un messaggio privato e può essere visto solo dal mittente e dai destinatari.
Cosa sono i Messaggi Diretti?	I Messaggi Diretti sono messaggi privati inviati da un account di Twitter ad altri account di Twitter. I Messaggi Diretti non sono pubblici e perciò non posso essere letti da altri. Puoi avviare una conversazione con chiunque ti segua.
Perché gli account vengono sospesi?	Gli account vengono sospesi per violazioni dei Termini di Servizio o per indagini di spam. Leggi di più sulla sospensione degli account.
Come faccio a segnalare lo spam?  	  Leggi il nostro articolo su come segnalare spam su Twitter. Ti invitiamo a bloccare sempre gli spammer che incontri. 
Dove posso trovare ulteriori informazioni sui Termini di Servizio di Twitter?	Per ulteriori informazioni, leggi i nostri Termini di Servizio e le Regole di Twitter.
Come invio un reclamo in materia di copyright, impersonificazione, marchi o altri problemi con i Termini di Servizio?	Consulta la sezione sui Termini di Servizio per scoprire che cosa viene considerata violazione e come risolvere un problema correlato.