Dove trovo il mio contratto di compravendita di veicolo a motore (MVPA, Motor Vehicle Purchase Agreement)?	Come posso recuperare il mio contratto di compravendita del mio veicolo a motore?
Dove trovo il numero di telaio della mia Tesla?	Dove si legge il numero di telaio sulla mia auto Tesla?
Come faccio ad aggiungere un altro contatto al mio account?	Come si inseriscono nuovi contatti all’account utente?
Quando sarà autorizzato l'accesso?	Quando avrò accesso all’app?
Come autorizzo l'accesso all'app alla mia famiglia?	Come posso dare accesso all’app ai miei famigliari?
Come faccio a usare l'app Tesla?	Come si lancia l’app Tesla?
Perché non riesco ad accedere all'app Tesla dopo la consegna?	Perché non riesco ad accedere all’app Tesla che mi è stata consegnata?
Come scopro di più sulla Model 3?	Mi saprebbe dare più informazione sul Model 3?
Come configuro il mio profilo conducente?	Come si configura il profilo del conducente sulla mia app?
Come si programma l'opzione Homelink?	Come posso aggiungere l’opzione Homelink?
Come posso abbinare il mio telefono tramite Bluetooth?	Come si aggiunge il telefono all’app via bluetooth?
Come passo da una schermata all'altra sul pannello strumenti di Model S e Model X?	Come si passa attraverso le schermate del pannello strumenti di Model S e Model X?
Come scopro di più sulle funzioni della mia Tesla?	Dove prendo più informazioni riguardo le funzionalità della mia Tesla?
Come funzionano i comandi vocali?	Come si attivano e usano i comandi vocali?
A cosa servono le rotelline sul volante?	Quali funzioni hanno le manopole situate volante?
Cos'è la 'Range Mode'?	A che serve la Range Mode?
Come posso monitorare l'utilizzo energetico?	Come visualizzo il controllo energetico ?
Cosa comporta l'impostazione di risparmio energetico?	Su cosa si basa l’opzione di risparmio energetico?
Cos'è la modalità Valet?	A cosa serve l’opzione Valet?
Posso spegnere il touchscreen?	Si può disabilitare il touchscreen?
Come faccio a navigare nel touchscreen?	Quali sono i comandi di navigazione del touchscreen?
Come posso accendere e spegnere la mia auto?	Quali sono le procedure di accensione e spegnimento della mia auto?
Come funziona lo sportello di ricarica?	Quale è la procedura di uso per lo sportello di ricarica?
Come posso attivare la funzione Summon?	Come si attiva l’opzione Summon?
Cos'è l'Autopilot e come funziona?	Quali sono le caratteristiche dell’Autopilot e come si usa?
Come funziona la frenata d'emergenza automatica?	In cosa consiste la frenata d'emergenza automatica?
Cosa devo sapere sulla guida alle basse temperature?	Quali sono gli aspetti principali sulla guida alle basse temperature?
Dove dovrei posizionare un eventuale transponder / telepass?	Dove metto il transponder / telepass?
Cosa posso fare se perdo le chiavi?	Come faccio a recuperare le chiavi in caso le perdessi?
Cosa posso fare se resto chiuso fuori dal veicolo?	C’e’ un modo per entrare nella mia auto in caso resti chiuso fuori?
Come posso accedere agli aggiornamenti software e quanto tempo richiedono?	Come si aggiorna il software e in quanto tempo?
Posso guidare la mia auto durante un aggiornamento software?	Si può guidare l’auto mentre è in corso un aggiornamento software?
Che tipo di manutenzione richiede la mia nuova Tesla?	Che manutenzione devo effettuare sulla mia nuova Tesla?
Dopo posso far riparare la mia auto?	Dove posso portare a riparare l’auto?
Come posso usare il gancio traino con la mia auto?	Quale è la procedura di uso del traino della mia auto?
Cos'è coperto dall'assistenza stradale?	Cosa copre l’assistenza stradale?
Dove posso acquistare gli accessori per la mia Tesla?	Dove si comprano gli accessori della Tesla?