Cos'è Twitter?	Ho sentito parlare di un social network chiamato Twitter, come funziona?
Mi serve qualcosa di particolare per utilizzarlo?	Di quali dati mi devo munire prima di fare la registrazione?
Cos'è un Tweet?	Vorrei sapere come funzionano i Tweet di Twitter.
Come posso inviare gli aggiornamenti su Twitter?	Vorrei notificare dei miei amici riguardo l'aggiornamento del profilo, come faccio?
Cos'è un Retweet?	Come funziona la ripubblicazione di un Tweet?
Come pubblico una foto su Twitter?	Ho delle immagini e vorrei pubblicarle su Twitter, come posso fare?
Posso modificare un Tweet dopo averlo pubblicato?	È possibile apportare delle modifiche ad un Tweet dopo che è stato messo online?
Come posso abilitare la modalità scura?	Come faccio ad attivare la Dark Mode? 
Chi legge i miei aggiornamenti?	È possibile risalire alle persone che leggono i miei Tweet?
Perché non posso vedere tutti i miei Tweet? Sono stati persi?	Esiste un tempo limite oltre il quale i Tweet vengono cancellati automaticamente?
Posso inserire gli aggiornamenti che pubblico su Twitter sul mio blog?	Vorrei creare un collegamento tra Twitter ed il mio sito per mostrare gli aggiornamenti, come posso fare?
Cosa significa seguire qualcuno su Twitter?	A cosa serve il pulsante "follow"?
Come trovo delle persone da seguire?	Non riesco ad iniziare a seguire le persone, mi aiutate?
Come posso sapere chi sto seguendo?	Vorrei una lista delle persone che seguo, dove devo andare?
Come posso sapere chi mi sta seguendo?	È possibile ottenere la lista delle persone che ho iniziato a seguire?
Cosa sono i limiti di follow?	Esiste un numero massimo di persone che posso seguire o che mi seguono?
Cosa sono le risposte?	Cosa sono i commenti ad un Tweet?
Qual è la differenza tra una risposta e un Messaggio Diretto?	Che differenza c'è tra un messaggio privato ed un commento ad un Tweet?
Cosa sono i Messaggi Diretti?	Vorrei ulteriori informazioni sui messaggi diretti, come funzionano?
Perché gli account vengono sospesi?	Il mio account è stato bloccato e non riesco più ad accedervi, come faccio?
Come faccio a segnalare lo spam?	Ho ricevuto numerose richieste da sconosciuti, come faccio a rimuoverle?
Dove posso trovare ulteriori informazioni sui Termini di Servizio di Twitter?	Come posso recuperare tutte le informazioni sui Termini di partecipazione a Twitter?
Come invio un reclamo in materia di copyright, impersonificazione, marchi o altri problemi con i Termini di Servizio?	Vorrei inviare un reclamo riguardo alla violazione del diritto d'autore su un contenuto protetto, come faccio?