Come si naviga in questo sito?	Esiste una mappa di navigazione per questo sito?
Come faccio a registrarmi al sito?	Vorrei creare un account, da dove iniziare?
Non riesco ad effettuare l’accesso al sito	Il mio utente o la mia password sono errati, posso recuperarli?
Ho dimenticato la password	Non ricordo più la mia password dell'account.
Vorrei modificare la password	È possibile cambiare la password?
Ho sbagliato a digitare la mail e/o il numero di cellulare in fase di registrazione al sito	È possibile modificare le informazioni personali dopo che mi sono registrato?
Come si effettua un ordine	Come posso fare un ordine sul vostro sito?
Come posso sapere se l’ordine è stato correttamente portato a termine?	Dove posso trovare le informazioni sullo stato dell'ordine?
É possibile annullare uno o più testi prenotati?	C'è la possibilità di annullare un ordine di libri già pagati?
É possibile aggiungere uno o più testi ad un ordine già confermato?	È possibile aggiungere articoli ad un ordine che è già stato confermato?
Non riesco a trovare un libro che vorrei prenotare	Cosa posso fare se un libro non è presente nel catalogo?
Come faccio a prenotare i testi scolastici indicati dalla mia scuola?	La mia scuola mi ha dato una lista di libri da comprare, come posso prenotarli?
Come posso aggiungere le copertine ai libri?	È possibile aggiungere delle copertine ai libri che ho ordinato?
È possibile scegliere la copertina anche senza alcuna personalizzazione.	Come posso selezionare una copertina per il mio libro senza personalizzazioni?
Quali sono i tempi di evasione dei testi prenotati?	Dopo quanto tempo viene spedito un ordine?
Quali sono le modalità di spedizione dei testi prenotati?	Quale metodo di spedizione viene utilizzato?
Come faccio a sapere se i libri da me prenotati sono pronti per essere ritirati presso il punto vendita?	Mi arriva una notifica quando i libri sono pronti per essere ritirati nel punto vendita?
É possibile non ritirare un testo anche se ho già ricevuto l’sms/e-mail?	È possibile annullare un ordine anche se mi è già stato confermato via SMS?