Come funzionano le Gift Card Despar?	Vorrei maggiori informazioni sulle Gift Card Despar.
Cosa posso acquistare con le Gift Card Despar?	Cosa è possibile comprare con le Gift Card Despar?
Dove posso utilizzare le card?	Esiste una lista di negozi dove posso utilizzare la mia carta?
Qual'è la differenza tra obliterazione e validazione?	Non capisco la differenza che c'è tra obliterare e validare in mio biglietto, potreste spiegarmela?
Come mi devo comportare se trovo una validatrice, a bordo mezzo o in stazione, guasta che non mi permette di effettuare la validazione?	Cosa devo fare se l'obliteratrice non funziona?
Con l'introduzione del sistema MITT le tariffe sono aumentate?	Come sono variate le tariffe con l'introduzione del sistema MITT?
Cos'è la nuova 'Carta a Scalare'?	Cos'è e come funziona la nuova Carta a Scalare?
Perchè un nuovo sito?	Perchè non utilizzare un sito già esistente?
Che cosa è cambiato?	Quali sono le differenze con il sito precedente?
Anche il mio profilo cambiato?	Il mio profilo ora è diverso, quali cambiamenti ha subito?
Perchè solo ad alcune pagine è stata modifica la grafica?	C'è un motivo per il quale sono alcune pagine è stata cambiata l'interfaccia?  
Quindi ora è più facile scrivere una recensione, giusto? E le promozioni a cui ho partecipato?	Dopo l'aggiornamento è più facile o più difficile inserire delle review e delle promozioni?
Come posso inviarvi i miei consigli e suggerimenti?	Vorrei contribuire a migliorare il sito, come faccio?